,Cur. service,Title,Genre,Premiere,Seasons,Status,Language,Runtime,Prev. network(s),Episodes
158,Netflix,Remarriage & Desires,Melodrama,2022-07-15 00:00:00,1,Pending,,>60 min,,8
159,Netflix,A Model Family,Crime thriller,2022-08-12 00:00:00,1,Pending,,<60 min,,10
160,Netflix,Narco-Saints,Crime drama,2022-09-09 00:00:00,1,Pending,,<60 min,,6
161,Netflix,Glitch,Comedy thriller,2022-10-07 00:00:00,1,Pending,,<60 min,,10
162,Netflix,Somebody,Suspense thriller,2022-11-18 00:00:00,1,Pending,,<60 min,,8
163,Netflix,The Fabulous,Romantic comedy,2022-12-23 00:00:00,Unknown,Pending,,Unknown,,Unknown
164,Netflix,The Glory,Drama,2022-12-30 00:00:00,Unknown,Pending,,Unknown,,Unknown
165,Netflix,The Victims' Game,Thriller,2020-04-30 00:00:00,1,Continuing,,>60 min,,8
166,Netflix,"Mom, Don't Do That!",Romantic dramedy,2022-07-15 00:00:00,1,Pending,,<60 min,,11
167,Netflix,Shards of Her,Suspense thriller,2022-10-28 00:00:00,1,Pending,,<60 min,,9
168,Netflix,Sexify,Comedy drama,2021-04-28 00:00:00,1,Continuing,,<60 min,,8
169,Netflix,Queen,Drama,2022-06-23 00:00:00,1,Pending,,<60 min,,4
170,Netflix,Family Secrets,Comedy,2022-08-31 00:00:00,1,Pending,,<60 min,,8
171,Netflix,High Water,Drama,2022-10-05 00:00:00,1,Pending,,<60 min,,6
172,Netflix,The Green Glove Gang,Black comedy,2022-10-19 00:00:00,1,Pending,,<60 min,,8
173,Netflix,Dead End,Dark comedy,2022-12-01 00:00:00,1,Pending,,<30 min,,6
174,Netflix,Glitter,Drama,2022-12-14 00:00:00,Unknown,Pending,,Unknown,,Unknown
175,Netflix,Sintonia,Crime teen drama,2019-08-09 00:00:00,3,Continuing,,<60 min,,18
176,Netflix,Brotherhood,Crime drama,2019-10-25 00:00:00,2,Pending,,<60 min,,14
177,Netflix,"Good Morning, Verônica",Crime drama,2020-10-01 00:00:00,2,Pending,,<60 min,,14
178,Netflix,Invisible City,Fantasy thriller,2021-02-05 00:00:00,1,Continuing,,<60 min,,7
179,Netflix,Back to 15,Comedy,2022-02-25 00:00:00,1,Continuing,,<60 min,,6
180,Netflix,Smother-in-Law,Sitcom,2022-04-13 00:00:00,1,Continuing,,<30 min,,10
181,Netflix,Time Hustler,Comedy,2022-12-25 00:00:00,Unknown,Pending,,Unknown,,Unknown
182,Netflix,Lady Voyeur,Psychological thriller,2022-12-31 00:00:00,Unknown,Pending,,Unknown,,Unknown
183,Netflix,Elite,Crime teen drama,2018-10-05 00:00:00,6,Continuing,,<60 min,,48
184,Netflix,Almost Happy,Comedy,2020-05-01 00:00:00,2,Pending,,<30 min,,18
185,Netflix,Valeria,Dramedy,2020-05-08 00:00:00,2,Continuing,,<60 min,,16
186,Netflix,Daughter from Another Mother,Comedy,2021-01-20 00:00:00,2,Continuing,,<60 min,,17
187,Netflix,Sky Rojo,Action drama,2021-03-19 00:00:00,2,Continuing,,<60 min,,16
188,Netflix,The War Next-door,Comedy,2021-07-07 00:00:00,2,Pending,,<60 min,,16
189,Netflix,The Kingdom,Crime drama,2021-08-13 00:00:00,1,Continuing,,<60 min,,8
190,Netflix,Rebelde,Teen drama,2022-01-05 00:00:00,2,Pending,,<60 min,,16
191,Netflix,Secrets of Summer,Teen drama,2022-02-16 00:00:00,1,Continuing,,<60 min,,11
